date,ticker,low,high,open,close
20060613,GOOG,378.12,387,380.9,386.525
20060614,GOOG,378.52,391.1,389.83,384.39
20060615,GOOG,383,392.25,386.62,391
20060616,GOOG,388,390.93,389.1,390.7
20060619,GOOG,386.98,394.8,390.85,388.14
20060620,GOOG,386.51,391.87,388.03,387.17
20060621,GOOG,389.75,404,391.06,402.13
20060622,GOOG,388,406,401.58,399.95
20060623,GOOG,400.74,409.75,402.76,404.86
20060626,GOOG,403.25,408.3,406.75,404.22
20060627,GOOG,401.01,408,405.71,402.32
20060628,GOOG,401.13,406.48,404.01,406.11
20060629,GOOG,405.82,418.2,407.99,417.81
20060630,GOOG,412.33,419.33,415.6,419.33
20060703,GOOG,419.45,423.77,420.04,423.2
20060705,GOOG,415.64,422.8,421.52,421.46
20060706,GOOG,421.98,425.38,423.375,423.19
20060707,GOOG,415.88,427.89,426.05,420.45
20060710,GOOG,416.38,425.23,423.44,418.2
20060711,GOOG,413.03,425.05,418.505,424.56
20060712,GOOG,416.73,422.74,422.09,417.25
20060713,GOOG,406.83,418.34,414,408.83
20060714,GOOG,398.61,411.49,410.33,403.5
20060717,GOOG,403.72,411,404.625,407.89
20060718,GOOG,397.74,410.57,409.75,403.05
20060719,GOOG,394.66,401.14,395.01,399
20060720,GOOG,385.66,404.44,404.28,387.12
20060721,GOOG,377.69,391.75,386.14,390.108
20060724,GOOG,381.21,393.89,392.82,390.9
20060725,GOOG,383.8,391.31,385.02,389.36
20060726,GOOG,383,391.91,388.2,385.5
20060727,GOOG,377.95,387.49,387.37,382.4
20060728,GOOG,381.73,389.56,382,388.12
20060731,GOOG,383.31,389.17,388,386.6
20060801,GOOG,375.51,385.77,385.11,375.51
20060802,GOOG,365.2,377.17,375.6,367.23
20060803,GOOG,363.36,377.91,364.98,375.39
20060804,GOOG,371.75,380.68,379.56,373.85
20060807,GOOG,371.15,379.73,371.5,377.95
20060808,GOOG,379.09,384.5,382.82,381
20060809,GOOG,376.36,384.68,382.8,376.94
20060810,GOOG,372.46,377.67,373.88,374.2
20060811,GOOG,368,375.28,374.4,368.5
